fid,interaction_id,interactions
460287,235512,365
460287,488767,364
460287,401099,364
460287,434641,363
460287,404330,363
402040,388302,363
460287,292927,362
460287,480682,362
402000,388302,362
816433,423311,361
816433,316454,361
460287,508994,361
324808,245681,360
460287,548943,360
816433,439396,360
460287,252936,360
473086,465748,359
460287,348944,358
324808,194092,357
460287,419719,357
460287,544105,356
443672,388302,355
460287,475023,355
816433,407704,355
460287,434222,355
460287,248216,353
460287,440498,353
460287,433599,353
816433,448920,352
460287,454563,352
509369,404804,352
9055,781098,352
324808,18408,351
460287,379634,350
598368,537227,350
460287,509654,349
519032,483595,349
460287,445864,349
460287,633693,349
460287,500614,348
816433,402682,348
460287,399892,348
758632,15141,348
812204,801202,347
758547,15141,347
460287,236636,347
320189,781098,347
460287,428341,347
460287,22761,347
460287,505078,346
816433,485585,346
460287,245958,346
324808,242090,345
816433,332316,345
460287,379676,345
460287,399908,344
460287,471324,344
460287,221578,344
460287,380660,344
816433,406815,344
816433,368345,343
816433,401049,342
816433,334811,342
816433,500256,342
460287,410409,342
460287,403537,341
816433,263574,340
324808,269084,340
537227,598368,339
438719,483595,339
460287,368989,339
816433,350139,338
816433,445359,338
460287,501832,338
460287,501667,337
537664,15141,337
460287,689634,337
516359,385955,336
816433,368013,336
506958,265323,335
816433,326040,334
533973,15141,334
460287,373934,334
773811,15141,333
782613,15141,333
816433,435513,333
460287,502325,332
786858,14839,332
460287,5406,332
816433,247653,331
657052,528503,331
460287,565125,331
506958,496726,331
324808,299163,331
460287,416294,331
460287,354088,330
13881,6821,329
816433,500988,328
460287,428361,327
816433,368412,327
460287,343997,326
460287,368514,326
816433,260433,326
460287,203666,326
816433,401137,326
816433,633693,326
816433,423378,325
11244,781098,324
816433,383877,324
460287,463031,324
816433,435085,324
460287,343971,321
816433,418296,321
460287,368056,320
324808,243775,320
460287,513839,320
816433,500710,320
460287,446821,320
435045,15141,319
816433,462982,317
786858,134068,317
816433,406564,317
816433,474644,317
765705,15141,317
816433,590111,317
460287,492181,316
780742,15141,316
816433,420229,315
324808,248473,315
460287,431089,315
816433,422233,315
305483,388302,315
460287,318849,314
816433,401018,314
816433,330083,313
816433,434641,313
460287,398388,313
816433,500500,313
816433,445335,312
460287,419155,312
460287,501246,312
460287,650888,312
758605,15141,310
460287,609977,310
758664,15141,310
690341,15141,310
460287,7418,310
230238,781098,309
460287,389808,309
460287,195117,309
533952,15141,309
816433,393452,308
473086,475955,308
504131,481476,308
812204,421722,308
816433,366075,307
782545,15141,307
816433,419168,307
443634,388302,307
786858,509305,306
816433,270228,306
460287,344062,306
460287,308625,306
460287,345093,305
460287,524157,305
203666,781098,304
460287,462971,304
780766,15141,304
816433,444156,304
460287,545107,304
460287,537946,303
460287,490427,302
509501,388302,302
509209,388302,302
324808,18763,302
460287,234568,302
816433,378422,301
746457,12741,301
816433,400227,301
773926,15141,301
460287,349331,301
816433,317501,300
816433,283144,300
773855,15141,299
512013,388302,299
816071,424006,299
460287,378416,299
816433,285462,299
460287,500619,298
816433,538388,298
324808,5380,298
816071,407704,298
733365,15141,298
533925,15141,298
533938,15141,297
460287,355271,296
460287,481404,296
786858,466926,296
816433,426178,296
537657,15141,296
773258,15141,296
816433,498568,295
460287,499373,295
816433,390273,294
460287,428395,294
509124,483595,293
786858,425657,293
460287,501794,291
460287,445335,291
510612,15141,291
460287,351598,291
816433,429539,290
816433,502617,290
460287,512534,290
786858,343581,289
816433,461302,289
324808,234524,288
460287,439313,288
460287,419939,287
460287,304465,287
460287,448079,287
460287,402461,287
460287,528697,287
816433,15776,287
482635,388302,286
510624,15141,286
480704,480704,286
780128,15141,286
460287,412043,286
324808,243383,286
460287,392018,285
816433,404330,285
816433,340986,285
816433,445796,285
816433,284003,285
533945,15141,285
816433,511479,285
460287,519844,285
460287,425933,284
460287,478308,283
780822,15141,283
816433,402888,283
460287,354795,283
460287,423518,283
786858,669527,283
460287,506059,283
509516,388302,283
509229,483595,282
786858,357355,282
816433,417451,282
460287,427595,282
816433,400198,281
460287,449301,281
728994,15141,281
816433,17356,281
542585,366713,280
460287,403573,279
766981,15141,279
516027,15141,279
786858,276958,279
492032,388302,279
460287,425913,279
460287,459311,278
816433,497341,278
449341,388302,278
460287,395662,278
816433,585995,277
460287,485123,277
816433,488178,277
460287,14253,277
702530,414258,277
816433,302505,277
816433,387283,277
460287,354417,277
460287,400227,276
460287,519325,276
532185,15141,275
324808,260903,275
780612,15141,275
460287,413614,274
816433,509022,274
460287,460742,274
816433,249958,273
816433,509624,272
767025,15141,272
737816,15141,272
816433,379435,271
460287,484488,271
248836,388302,271
460287,465823,271
816433,518129,270
816433,528914,270
460287,499579,270
460287,656278,270
460287,434449,270
460287,341208,270
816433,438822,270
780710,15141,269
816433,350698,269
767062,15141,269
411778,388302,268
324808,236111,268
460287,360822,268
816433,397392,268
460287,279477,268
460287,210201,268
193928,781098,268
786858,409137,268
740497,12741,268
460287,300485,267
460287,251596,267
738041,15141,267
816433,342995,267
460287,334811,266
460287,419836,266
780163,15141,266
460287,14260,266
324808,14622,266
533965,15141,266
816433,343971,266
789636,537227,266
516002,15141,265
460287,424419,265
816433,315654,265
460287,601461,265
786858,688917,265
460287,432671,264
816433,292423,264
816433,439799,263
460287,389234,263
816433,397290,263
460287,693054,263
508969,508969,263
460287,277952,262
460287,540118,262
782700,15141,262
740099,12741,261
816433,525136,261
460287,495170,261
816433,346080,261
816433,420493,260
460287,500253,260
816433,675076,260
816433,470886,260
20388,781098,259
816433,477292,259
533932,15141,259
816433,460847,259
786179,343261,259
746762,12741,259
780787,15141,258
515806,343261,258
509720,388302,258
816433,451841,258
780075,15141,258
780234,15141,258
742659,12741,257
816433,502822,257
460287,423311,257
786858,569529,257
381208,15141,257
816433,478311,256
460287,327165,256
733425,15141,256
737041,15141,255
460287,506853,255
460287,8433,255
13338,781098,254
816433,239748,254
460287,514136,254
816433,345093,254
738110,15141,254
816433,503541,254
816433,14553,254
742300,12741,253
765743,15141,252
816433,276506,252
816433,236636,252
460287,386264,252
460287,503190,252
252529,12800,252
460287,406674,251
460287,423068,251
816433,315697,250
460287,632577,250
816433,528707,250
816433,17360,250
816433,462351,249
448613,388302,248
816433,375140,248
460287,8447,248
9218,781098,248
825487,12741,248
460287,445210,247
417554,781098,247
460287,394641,247
460287,443036,247
460287,489857,247
324808,265246,247
460287,517379,247
460287,328883,246
816433,435501,246
816433,385793,246
403619,781098,246
460287,314623,246
816433,445210,246
215589,781098,245
460287,458337,245
816433,504678,245
460287,417735,245
816433,548867,245
324808,252017,245
324808,318665,245
460287,562555,244
460287,431880,244
532264,15141,244
460287,499442,244
738073,15141,244
460287,410926,244
460287,340560,244
460287,384650,244
460287,409857,244
816433,326677,243
460287,500588,243
816433,416361,243
816433,443305,242
816433,512534,242
427869,531162,242
460287,525467,241
816433,274563,241
460287,488602,241
460287,419222,240
740824,12741,240
460287,427905,240
816433,285998,240
460287,297066,240
460287,324395,240
816433,438835,239
532168,15141,239
460287,341438,239
528311,388302,239
460287,509047,239
324808,7941,239
816433,343855,238
312874,781098,238
532260,15141,238
460287,264401,238
263339,781098,238
510934,343261,237
428665,531162,237
